Description,DangerousEquipment,EquipmentProximity,WorkerMovement,Slips,LeadingEdge,Confinedspace,Hazardousmaterial,Heavymaterialmovement,Electricalsproximity,Hightempertureoperation
ایجاد شیار با سطح مقطع تا ٢٠ سانتی‌متر مربع، در سطوح بنایی.,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0
اختلاط انواع مصالح با دست.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
بنایی با آجر سیمانی به ابعاد آجر فشاری برای دیوارسازی به ضخامت نیم آجر با ملات ماسه سیمان 1:5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
تهیه و نصب شیشه‌ایمنی آبدیده حرارتی به ضخامت ۴میلی‌متر.,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
تهیه و نصب پیچ و مهره معمولی.,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
سوراخ کاری روی پوشش های چوبی، درصورتی‌که قطر سوراخ حداکثر ١۵ سانتی‌متر و یا سطح معادل آن باشد.,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
تهیه و نصب سنگ پلاک مرمریت صلصالی یا کرم خور و بیابانک (اصفهان) در سطوح افقی.,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
رگلاژ و پروفیله کردن سطح شیروانی ترانشه ها و شیروانی خاک‌ریزها.,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
تهیه، حمل و نصب سنگ مکعبی (کیوبیک) به ابعاد ۵×١٠×١٠ سانتی‌متر در سطوح افقی با سنگ گرانیت سفید نطنز (اصفهان).,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
تهیه و نصب کاشی های سرامیکی با جذب اب پایین روی سطوح قائم به‌صورت خشک با روش نصب پنهان.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
تهیه مصالح و اجرای رنگ الکیدی اکسید آهن (اخرایی) به طریق بدون هوا، روی اسکلت فولادی در یک قشر به ضخامت خشک ۴٠ میکرون.,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
کندن زمین در زمین‌های سنگی با بولدوزر یا وسیله مشابه و با استفاده از مواد منبسط شونده، حمل مواد حاصل تا فاصله ٢٠ متر از مرکز ثقل برداشت و توده کردن آن.,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
تهیه و نصب سنگ پلاک تراورتن شکلاتی همدان (همدان) در سطوح افقی.,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
تهیه مصالح و اجرای سیلر و کلیرکاری کامل روی کارهای چوبی.,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
 تهیه و ساخت کف پنجره و درپوش روی دیوارها و دست‌اندازها و مانند آن از ورق گالوانیزه.,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
جابجایی درخت درصورتی‌که محیط بن آن ١۵٠سانتی‌متر و بیشتر باشد.,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
تهیه و نصب سنگ پلاک گرانیت سفید زاهدان (سیستان و بلوچستان) در سطوح افقی.,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
تهیه و نصب در تمام چوب از چوب نراد خارجی به ضخامت ۴ تا ۵ سانتی‌متر.,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
برچیدن سقف های متشکل از تیر چوبی، حصیر، توفال و اندود روی آن به‌طور کامل.,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0
تهیه مصالح و اجرای رنگ الکیدی فسفات روی به طریق بدون هوا، روی اسکلت فولادی در یک قشر به ضخامت خشک ۴٠ میکرون.,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
تهیه و اجرای زیرسازی چوبی به‌صورت مشبک یانواری، از چوب نراد خارجی با سطح مقطع بیش از ١۶ تا ٢۵سانتی‌متر مربع، جهت زیرسازی سطوح کاذب.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
تهیه و نصب پیچ و مهره پرمقاومت که نیاز به ترک متر ندارد.(TC Bolt),1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
تهیه مصالح و اجرای رنگ وینیلی یک جزئی به طریق بدون هوا، روی اسکلت فولادی در یک قشر به ضخامت خشک ۴٠ میکرون.,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
 تهیه، ساخت و جاگذاری شبکه به ابعاد حداکثر 7*٧ سانتی‌متر داخل کلاف چوبی در، از تخته لایه داخلی به ضخامت حدود ۴ میلی متر.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
جابجایی درخت درصورتی‌که محیط بن آن ١٢٠سانتی‌متر باشد.,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
سنگ چینی در کف با سنگ قلوه.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
تهیه و نصب سنگ پلاک گرانیت سفید بروجرد (لرستان) در سطوح افقی.,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
تهیه مصالح و اجرای دیوار جداکننده از جنس MDF به ضخامت حدود ١۶ میلی متر به‌صورت تک جداره به‌طور کامل,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
حمل دریایی سیمان پاکتی، مصالح سنگی، آهن آلات، آجر و بلوک، تا فاصله ١٠ مایل دریایی.,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
تهیه و اجرای پوشش سطوح قائم با ورق MDF به ضخامت حدود 5 میلی‌متر.,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
تهیه و نصب صفحات سیمانی الیاف دار، به ضخامت حدود ١٢ میلی‌متر، با سطح صاف روی سطوح قائم که با استفاده از فولاد گالوانیزه سرد نورد شده زیرسازی شده باشد، به ازای هر صفحه سیمانی.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
تهیه، ساخت و نصب حفاظ، نرده و نردبان و قاب سازی فولادی کف پله ها از نبشی، سپری، ناودانی و میلگرد، ورق و مانند آن، با جاسازی و دستمزد نصب یراق‌آلات همراه با جوش کاری و ساییدن لازم.,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
بند کشی توپر با ملات گچ‌ و خاک روی نمای آجری.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
تهیه و نصب روکوب از چوبراش خارجی به ضخامت ١٢ تا ١۶ میلی‌متر، روی چهارچوب چوبی یا فولادی.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
سوراخ کردن سطوح بتنی و بتن مسلح، به سطح مقطع بیش از ٠٫٠۵ تا ٠٫١۵ مترمربع به انضمام بریدن میلگردها در صورت لزوم.,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0
تهیه و نصب روکوب از چوب داخلی به ضخامت ١٢ تا ١۶ میلی‌متر، روی چهارچوب چوبی یا فولادی.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
تهیه و نصب سنگ پلاک مرمریت کرم نمین (اردبیل) در سطوح افقی.,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
اندود سیمانی به ضخامت بیش از ٢ سانتی‌متر تا ٣. سانتی‌متر، روی سطوح افقی، با ملات ماسه سیمان 1:4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
تهیه و اجرای نوار آب بند بنتونیتی به عرض ٣ سانتی‌متر به‌طور کامل برحسب متر طول درز.,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
تهیه و نصب پایه فایبرگلاس برای نورگیرهای حبابی به مساحت بیش از ١٫۶ مترمربع.,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
تهیه و نصب سنگ پلاک تراورتن کرم یا شکلاتی خوی (آذربایجان غربی) در سطوح افقی.,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
تخریب بنایی‌های با مصالح غیر از خشتی و چینه‌ای که با ملات گل آهک، ماسه آهک، یا گچ‌ و خاک چیده شده باشد.,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
تهیه، ساخت و نصب در کمد و گنجه از نئوپان به ضخامت حدود ١۶ میلی‌متر و نصب نوار PVC در محیط آن به همراه یراق کوبی.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
تهیه و اجرای پانل دیواری از سازه قاب فلزی سبک (LSF) از جنس فولاد سرد نورد شده گالوانیزه سبک متشکل از اعضای استاد (Stud) ترک (Track) و بادبند (در صورت لزوم) به همراه نعل درگاه، اتصالات و تقویتی های مربوط.,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
تهیه وسایل و قالب بندی با استفاده از قالب فولادی در ستون‌ها و شناژهای قائم با مقطع چهارضلعی تا ارتفاع حداکثر ٣٫۵ متر.,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
کندن زمین در صورت لزوم استفاده از بیل هیدرولیکی یا وسیله مشابه در زمین‌های خاکی و ریختن خاک کنده‌شده در کنار محل‌های مربوط.,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
تهیه و نصب کف‌پوش لمینیت به ضخامت حدود ٨ میلی‌متر.,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
پخش، آب‌پاشی، تسطیح، پروفیله کردن، رگلاژ و کوبیدن قشرهای خاک یا توونان ریخته شده، با ١٠٠ درصد کوبیدگی به روش پروکتور اصلاحی، وقتی‌که ضخامت خاک یا توونان ریخته شده پس از کوبیده شدن حداکثر ١۵ سانتی‌متر باشد.,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
اندود سیمانی به ضخامت تا ٢ سانتی‌متر، روی سطوح .,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
تهیه و نصب پروفیل ریل و قرقره فولادی برای درها وپنجره های کشویی.,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
تهیه و اجرای بتن با شن و ماسه شسته طبیعی یا شکسته با مقاومت فشاری مشخصه ٣٠ مگاپاسکال.,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
غلاف گذاری یا لوله فولادی هم‌زمان با چال زنی.,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0
تهیه و نصب شیشه ۵ میلی‌متری ساده.,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
بنایی با بلوک سیمانی سبک توخالی کف پر متشکل از پرلیت منبسط شده به ضخامت حدود ١۵ سانتی‌متر با ملات ماسه سیمان 1:5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
کندن آسفالت بام به ضخامت تا ٢ سانتی‌متر.,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
تهیه و نصب کاشی های سرامیکی لعاب دار یا بدون لعاب روی سطوح افقی با سطح بیش از ٧٢ دسی مترمربع.,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
تهیه و اجرای گروت اپوکسی برای زیر بیس پلیت و محل‌های لازم.,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
بنایی با پانل‌های دیواری بتنی پیش‌ساخته از بتن  سبک دانه های پلی استایرن و رس منبسط شده، با ملات مخصوص به ضخامت حدود ۶ سانتی‌متر.,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
تهیه و اجرای پوشش سطوح قائم با ورق MDF به ضخامت حدود 3 میلی‌متر.,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
تهیه توونان، بارگیری، حمل و باراندازی در محل مصرف.,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
برچیدن هر نوع سفال بام.,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
تهیه، نصب و سوار کردن قطعات فولادی ضدزنگ (Stainless steel)  از رده SS3041 برای ساخت مخازن مکعبی پیش‌ساخته مدولار به‌طور کامل.,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
تهیه وسایل و قالب بندی با استفاده از تخته نراد خارجی، در دال‌ها (تاوه‌ها) به هر ارتفاع.,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
تهیه و نصب سنگ پلاک تراورتن سفید عباس آباد (مرکزی) در سطوح افقی.,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
تفکیک، دسته‌بندی و یا چیدن آجرها، بلوک‌ها، سنگ‌ها و مصالح مشابه حاصل از تخریب یا برچیدن.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
تهیه و نصب کاشی های سرامیکی لعاب دار یا بدون لعاب روی سطوح افقی با سطح تا ١۶ دسی مترمربع.,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
تهیه و نصب سنگ پلاک تراورتن کرم آبیار (مرکزی) درسطوح افقی.,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
نماچینی نیم آجره با آجر ماشینی سوراخ دار مخصوص نما به ضخامت حدود ۴ سانتی‌متر و ملات ماسه سیمان 1:5,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0
تهیه، حمل و نصب سنگ مکعبی (کیوبیک) به ابعاد ۵×١٠×١٠ سانتی‌متر در سطوح افقی با سنگ مرمریت لاشتر (اصفهان).,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
تهیه و نصب لوله بتنی پیش‌ساخته، به قطر داخلی ٣٠سانتی‌متر و ضخامت ۵ تا ٧ سانتی‌متر، با بتن به عیار ٣٠٠کیلوگرم سیمان در متر مکعب بتن .,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
بنایی با بلوک سیمانی توخالی به ضخامت بیش از ٢٠ سانتی‌متر و ملات ماسه سیمان 1:5,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
برچیدن روکش روی ستون‌ها، دیوارها و نما از هر نوع ورق فلزی.,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0
تهیه وسایل و قالب بندی با استفاده از قالب فولادی در پی‌ها و شناژهای پی.,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
بنایی فرش کف با سنگ قلوه با ملات ماسه سیمان 1:5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
نصب ورق‌های موج‌دار پلیمری ردیف های ٢٣٠۵٠١ ، ٢٣٠۵٠۴ و ٢٣٠۵٠۶ با تمام وسایل نصب.,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
تهیه مصالح و اجرای نماسازی رزینی ترکیبی از نوع روغنی (آلکیدی بلندروغنی).,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
تهیه و نصب سنگ پلاک گرانیت قرمز یزد (یزد) در سطوحافقی.,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
سوراخ کردن سطوح بتنی و بتن  مسلح، به سطح مقطع تا ٠٫٠٠۵ مترمربع به انضمام بریدن میلگردها در صورت لزوم.,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0
جوش کاری با بعد موثر تا ۵ میلی‌متر، همراه ساییدن.,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
تهیه و نصب کاشی های سرامیکی لعاب دار یا بدون لعاب روی سطوح قائم با سطح بیش از ٧٢ دسی مترمربع.,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
تهیه و نصب شیشه ١٠ میلی‌متری ساده.,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
تهیه مصالح و اجرای رنگ الکیدی غنی از روی به طریق بدون هوا، روی اسکلت فولادی در یک قشر به ضخامت خشک ۴٠ میکرون,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
 نماسازی با آجر سیمانی به ابعاد آجر فشاری.,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
تهیه و اجرای پوشش سطوح قائم یا افقی با قطعات گرما چوب به ضخامت حدود ٢۶ میلی‌متر.,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
تهیه وسایل و قالب بندی با استفاده از قالب فولادی در دیوارهای بتنی که ارتفاع دیوار حداکثر ٣٫۵ متر باشد.,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
تهیه و کاشت بولت یا میلگرد با چسب مخصوص به همراه سوراخ کاری.,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
حمل دریایی سیمان پاکتی، مصالح سنگی، آهن آلات، آجرو بلوک، مازاد بر ١٠ مایل تا فاصله ٣٠ مایل دریایی.,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
کندن زمین در زمین‌های خاکی با بولدوزر یا وسیله مشابه و حمل مواد حاصل تا فاصله ٢٠ متر از مرکز ثقل برداشت و توده کردن آن.,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
تهیه و نصب کف‌پوش لاستیکی آج دار، به‌صورت رول وضخامت اسمی ۴ میلی‌متر.,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
لجن برداری، حمل با هر نوع وسیله دستی، تا فاصله ۵٠ متری و تخلیه آن‌ها.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
تهیه پیونده ها و قطعات انتهای سر اعضا، به روش براده برداری، کوبن کاری یا آهنگری با وزن قطعات بیش از یک کیلوگرم برای سازه‌های فضا کار .,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
پر کردن شیار محل عبور لوله‌های تاسیساتی با ملات ماسه سیمان ١:٣ به سطح مقطع تا ١٠٠ سانتی‌متر مربع.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
تهیه، ساخت و نصب تیر اصلی از یک تیرآهن یا ناودانی با ورق های تقویتی.,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
تهیه و نصب پایه فایبرگلاس برای نورگیرهای حبابی به مساحت تا ١٫۶ مترمربع.,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
تهیه و نصب سنگ پلاک آهک اسلام آباد (کرمانشاه) درسطوح افقی.,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
دیوار آجری به ضخامت ۵ تا ۶ سانتی‌متر با آجر ماشینی سوراخ دار به ابعاد آجر فشاری، با ملات گچ‌ و خاک.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
تهیه، مونتاژ و جاگذاری میل مهار از میلگرد آجدار با متعلقات سرمهار جهت اجرای مهار ناتنیده تا قطر ۴٠ میلی‌متر.,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
تهیه و نصب کاشی های سرامیکی لعاب دار یا بدون لعاب روی سطوح افقی با سطح بیش از ٢۵ تا ٣۶ دسی مترمربع.,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
سوراخ کردن سطوح بنایی، به سطح مقطع بیش از ٠٫١ تا ٠٫٣ مترمربع به انضمام بریدن میلگردها در صورت لزوم.,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0
تهیه، ساخت و نصب قطعات بتنی پیش‌ساخته برای تکیه‌گاه لوله و کارهای مشابه، با عیار ٣٠٠ کیلوگرم سیمان در مترمکعب بتن .,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
تهیه و نصب پانلهای U.P.V.C برای پوشش سایبان، پارکینگ، سوله و مانند آن.,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
تهیه ورق‌های تخت پلی استایرن به ضخامت اسمی ٣ میلی‌متر.,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
تهیه و نصب سنگ پلاک گرانیت گل پنبه ای تکاب (آذربایجان غربی) در سطوح افقی.,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
تهیه و نصب لوله بتنی مسلح پیش‌ساخته، به قطر داخلی۶٠ سانتی‌متر و ضخامت ٧ تا ٩ سانتی‌متر، با بتن به عیار٣٠٠ کیلوگرم سیمان در مترمکعب بتن .,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
تهیه و اجرای ژئوتکستایل نبافته ترموباند از جنس پلی‌پروپیلن به وزن ۶٠٠ گرم در هر مترمربع.,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
تخریب بتن مسلح، به انضمام بریدن میلگردها.,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0
تهیه و اجرای پوشش سطوح قائم به ‌وسیله تخته تراشه جهت دار به ضخامت حدود ١١ میلی‌متر.,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
تهیه و نصب سنگ پلاک گرانیت قرمز اصفهان (اصفهان) در سطوح افقی.,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
تهیه و نصب سنگ پلاک تراورتن قرمز اصفهان (اصفهان) در سطوح افقی.,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
گرد کردن لبه سنگ‌های پلاک بجز گرانیت برحسب هرمترطول لبه سنگ به ازای هر بار.,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
تهیه و نصب روکش از PVC به ضخامت حدود ٠٫35 میلی‌متر، با پرس کردن.,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
تعبیه انواع درز سطحی با تمام وسایل لازم بدون پر کردن آن.,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 تهیه، ساخت و جاگذاری شبکه به ابعاد حداکثر 7*٧ سانتی‌متر داخل کلاف چوب ی در ، از فیبر به ضخامت حدود ٣ میلی‌متر.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
تهیه و نصب شیشه‌ایمنی آبدیده حرارتی به ضخامت ١٢میلی‌متر.,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
تراشیدن اندود گچ‌ و خاک از روی کلیه سطوح همراه با اندود گچ روی آن در صورت وجود.,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
برچیدن لوله‌های آزبست سیمان، لوله‌های پیش‌ساخته سیمانی یا چدنی غیر مدفون.,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
